Hybrid,Location,PlantHeight
G41,IAH3,166.2651327674059
G41,IAH4,171.22935935181653
G41,MIH1,196.75744193216755
G41,NCH1,179.75690299870814
G41,NYH2,193.18204949725038
G41,WIH1,153.0536614775142
G42,DEH1,191.31548599742544
G42,GAH1,193.78124385831518
G42,GAH2,134.24943197024038
G42,GEH1,193.3835596206725
G42,IAH3,148.85733551232053
G42,IAH4,181.19655481346595
G42,ILH1,214.11443317711988
G42,INH1,181.82110033886892
G42,MIH1,210.71702325731187
G42,MOH2,119.98787750885322
G42,NCH1,170.42422815616675
G42,NYH2,182.0939113262147
G42,NYH3,188.13333122294682
G42,SCH1,167.79408019981676
G42,WIH1,176.272173035102
G42,WIH2,202.3048953877304
G42,WIH3,196.22845993153612
G43,DEH1,173.23390427447026
G43,IAH3,154.0259515078216
G43,IAH4,149.92417845505958
G43,MIH1,213.24113948292774
G44,DEH1,178.21351790390557
G44,GAH1,159.24946093528067
G44,GEH1,175.39276143062335
G44,IAH1,192.7099548396464
G44,IAH3,155.0243579553021
G44,IAH4,170.18098307397628
G44,ILH1,152.41618572613248
G44,INH1,191.64987950924456
G44,MIH1,216.32381436537182
G44,MOH2,108.1508514429634
G44,NCH1,200.73377761401815
G44,NEH1,130.8880554457632
G44,NEH2,134.99893531427497
G44,NEH3,176.93151719060774
G44,NYH2,145.06056932270533
G44,NYH3,111.26797753002285
G44,SCH1,186.02555926941636
G44,TXH1,176.84686823236405
G44,TXH2,152.681049412704
G44,TXH3,184.53393689421736
G44,WIH1,163.17020494158214
G44,WIH2,189.20292729421053
G44,WIH3,183.12649183801625
G45,DEH1,163.56464402638042
G45,GAH1,168.81237487649975
G45,GAH2,125.02233405155425
G45,GEH1,130.864306543412
G45,IAH1,170.96681953610718
G45,IAH3,158.7133698970708
G45,IAH4,171.5237275419688
G45,ILH1,191.21827837539666
G45,INH1,158.64085138776443
G45,MIH1,186.1960344757923
G45,MOH2,111.81402759567533
G45,NCH1,168.76041225033703
G45,NEH1,175.6327344896352
G45,NEH2,114.79431138526718
G45,NEH3,188.53570651630298
G45,NYH2,155.81578354899523
G45,SCH1,142.0138622246833
G45,TXH1,122.33895490596848
G45,TXH2,138.03217553517885
G45,TXH3,169.88506301669221
G45,WIH1,148.521331064057
G45,WIH2,174.55405341668538
G45,WIH3,168.4776179604911
G46,DEH1,165.87248522613123
G46,GAH1,97.30295995021791
G46,GAH2,76.89122738486543
G46,GEH1,183.22056062928658
G46,IAH1,174.9629178673555
G46,IAH3,179.13376980004244
